Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
FRESA METALLO DURO D2.5 R0.2,Fresa,Torica,D2.5,2.5,0.2,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,4C MILLS,2,Fresatura,Metrico,FRESA METALLO DURO D2.5 R0.2,
FRESA METALLO DURO D1.5,Fresa,Candela,D1.5,1.5,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,7001506,4C MILLS,1,Fresatura,Metrico,FRESA METALLO DURO D1.5,
FRESA METALLO DURO D1.5X6X6X60,Fresa,Candela,D1,1.0,,6.0,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,7001506,4C MILLS,1,Fresatura,Metrico,FRESA METALLO DURO D1.5X6X6X60,5X6X6X60
MASCHIO M16X2 HSSE,Maschio,,M16,16.0,,2.0,,,,Dx,HSSE,,USATO,MASCHI,,3763A6A536,ARMOR,1,Filettatura,Metrico,MASCHIO M16X2 HSSE,M16X2
MASCHIO AMERICANO 1/4  19TDHSS,Maschio,,1/4,6.35,,,,,,Dx,HSS,,USATO,MASCHI A,,15168113,B,1,Filettatura,Americano,MASCHIO AMERICANO 1/4  19TDHSS,AMERICANO 19TDHSS
MASCHIO AMERICANO 15/32  60° ER HSSE,Maschio,,15/32,11.90625,,,,,60°,Dx,HSSE,,USATO,MASCHI A,BRCL000400000099,,B,6,Filettatura,Americano,MASCHIO AMERICANO 15/32  60° ER HSSE,AMERICANO ER
MASCHIO EG M10X1LH ER HSSE,Maschio,,M10,10.0,,1.0,,,,Dx,HSSE,,USATO,MASCHI EG,BRCL000400000118,221006315,41,1,Filettatura,EG,MASCHIO EG M10X1LH ER HSSE,M10X1LH ER EG
"PUNTA HSSE T53 D.12,5 KP60",Punta,,D12.5,12.5,,,,,,Dx,HSSE,,NUOVO,PUNTE1,-,-,BURZONI,4,Foratura,Metrico,"PUNTA HSSE T53 D.12,5 KP60",D
"PUNTA HSSE T55 D.4,7 KP60",Punta,,D4.7,4.7,,,,,,Dx,HSSE,,NUOVO,PUNTE1,-,-,BURZONI,2,Foratura,Metrico,"PUNTA HSSE T55 D.4,7 KP60",D
MASCHIO M7  6H HSSE,Maschio,,M7,7.0,,,6H,,,Dx,HSSE,,NUOVO,MASCHI,,,BURZONI,3,Filettatura,Metrico,MASCHIO M7  6H HSSE,
"MASCHIO M6,5X0,75 HSSE",Maschio,,M6,6.0,,0.75,,,,Dx,HSSE,,NUOVO,MASCHI,,,BURZONI,6,Filettatura,Metrico,"MASCHIO M6,5X0,75 HSSE",5X0
MASCHIO M8  6H HSSE,Maschio,,M8,8.0,,,6H,,,Dx,HSSE,,NUOVO,MASCHI,,,BURZONI,8,Filettatura,Metrico,MASCHIO M8  6H HSSE,
MASCHIO T101 H M12 KP60,Maschio,,M12,12.0,,,,,,Dx,,,USATO,MASCHI,,,BURZONI,1,Filettatura,Metrico,MASCHIO T101 H M12 KP60,H
MASCHIO EG T700 M4 KP60,Maschio,,M4,4.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,5,Filettatura,EG,MASCHIO EG T700 M4 KP60,EG
"MASCHIO EG HC FCE M3 0,5",Maschio,,M3,3.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,2,Filettatura,EG,"MASCHIO EG HC FCE M3 0,5",HC FCE EG
MASCHIO EG T200 EG M3 KP20,Maschio,,M3,3.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,1,Filettatura,EG,MASCHIO EG T200 EG M3 KP20,EG
MASCHIO EG T700 M5 KP60,Maschio,,M5,5.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,1,Filettatura,EG,MASCHIO EG T700 M5 KP60,EG
MASCHIO EG T105 M6 KP60,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,1,Filettatura,EG,MASCHIO EG T105 M6 KP60,EG
MASCHIO EG T200 EG M6 KP20,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,1,Filettatura,EG,MASCHIO EG T200 EG M6 KP20,EG
MASCHIO EG T700 M10 KP60,Maschio,,M10,10.0,,,,,,Dx,,,USATO,MASCHI EG,,,BURZONI,3,Filettatura,EG,MASCHIO EG T700 M10 KP60,EG
SPACCAMASCHIO D3.3 TD1001 D3.3 KP60,Spaccamaschio,,D3.3,3.3,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,4,Filettatura,Metrico,SPACCAMASCHIO D3.3 TD1001 D3.3 KP60,
SPACCAMASCHIO TD1001 D4.2 KP60,Spaccamaschio,,D4.2,4.2,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,4,Filettatura,Metrico,SPACCAMASCHIO TD1001 D4.2 KP60,
SPACCAMASCHIO TD1001 D5.0 KP60,Spaccamaschio,,D5.0,5.0,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,4,Filettatura,Metrico,SPACCAMASCHIO TD1001 D5.0 KP60,
SPACCAMASCHIO TD1001 D6.8 KP60,Spaccamaschio,,D6.8,6.8,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,5,Filettatura,Metrico,SPACCAMASCHIO TD1001 D6.8 KP60,
SPACCAMASCHIO TD1001 D8.5 KP60,Spaccamaschio,,D8.5,8.5,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,3,Filettatura,Metrico,SPACCAMASCHIO TD1001 D8.5 KP60,
SPACCAMASCHIO TD1001 D10.2 KP60,Spaccamaschio,,D10.2,10.2,,,,,,Dx,,,NUOVO,MASCHI EG,,,BURZONI,3,Filettatura,Metrico,SPACCAMASCHIO TD1001 D10.2 KP60,
PUNTA T53 D3 KP60,Punta,,D3,3.0,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA T53 D3 KP60,
MASCHIO AMERICANO T331H G1/4 KP60,Maschio,,M1,1.0,,,,,,Dx,,,NUOVO,MASCHI A,,,BURZONI,2,Filettatura,Metrico,MASCHIO AMERICANO T331H G1/4 KP60,AMERICANO T331H
PUNTA T53 D3.3 KP60,Punta,,D3.3,3.3,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,3,Foratura,Metrico,PUNTA T53 D3.3 KP60,
PUNTA T55 D8.5 KP60,Punta,,D8.5,8.5,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA T55 D8.5 KP60,
PUNTA T55 D5 KP60,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,,BURZONI,1,Foratura,Metrico,PUNTA T55 D5 KP60,
PETTINE F100 040 080 C KP60,Fresa,Pettine,D4,4.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,4,Fresatura,Metrico,PETTINE F100 040 080 C KP60,C
PETTINE F100 060 100C KP60,Fresa,Pettine,D6,6.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,1,Fresatura,Metrico,PETTINE F100 060 100C KP60,100C
PETTINE FM100 M4 KP60,Fresa,Pettine,M4,4.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,2,Fresatura,Metrico,PETTINE FM100 M4 KP60,
PETTINE F100 080 150C KP60,Fresa,Pettine,D8,8.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,2,Fresatura,Metrico,PETTINE F100 080 150C KP60,150C
PETTINE F100 080 175C KP60,Fresa,Pettine,D8,8.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,2,Fresatura,Metrico,PETTINE F100 080 175C KP60,175C
PETTINE FM100 M5 KP60,Fresa,Pettine,M5,5.0,,,,,,Dx,,,NUOVO,PETTINI,,,BURZONI,1,Fresatura,Metrico,PETTINE FM100 M5 KP60,
FRESA METALLO DURO D5 TMDG 41055 KA60,Fresa,Candela,D5,5.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,BURZONI,4,Fresatura,Metrico,FRESA METALLO DURO D5 TMDG 41055 KA60,TMDG
FRESA METALLO DURO D8 GT 080 050 L KD60,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D8 GT 080 050 L KD60,GT L
FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,41120 MDI,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D12,
FRESA METALLO DURO LTG 020 030 KW60,Fresa,Candela,D3,3.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO LTG 020 030 KW60,LTG
FRESA METALLO DURO LGT 020 030 KS60,Fresa,Candela,D3,3.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO LGT 020 030 KS60,LGT
