,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
,4C MILLS,FRESA METALLO DURO D2.5 R0.2,D2.5,,FRESA,2,NUOVO,FRESA METALLI1,
,4C MILLS,FRESA METALLO DURO D1.5,D1.5,7001506,FRESA,1,NUOVO,FRESA METALLI1,
,4C MILLS,FRESA METALLO DURO D1.5X6X6X60,D1.5,7001506,FRESA,1,NUOVO,FRESA METALLI1,
,ARMOR,MASCHIO M16X2 HSSE,M16,3763A6A536,MASCHIO,1,USATO,MASCHI,
,B,MASCHIO AMERICANO 1/4  19TDHSS,1/4,15168113,MASCHIO,1,USATO,MASCHI A,
BRCL000400000099,B,MASCHIO AMERICANO 15/32  60° ER HSSE,15/32,,MASCHIO,6,USATO,MASCHI A,
BRCL000400000118,B ,MASCHIO EG M10X1LH ER HSSE,M10,221006315,MASCHIO,1,USATO,MASCHI EG,
,BF,INSERTO FRESA SFERICA  WPR20 SDR RED,,,INSERTI,4,USATO,INSERTI FRESA,
 -,BURZONI,"PUNTA HSSE T53 D.12,5 KP60",D12.5, -,PUNTA,4,NUOVO,PUNTE1 ,
 -,BURZONI,"PUNTA HSSE T55 D.4,7 KP60",D4.7, -,PUNTA,2,NUOVO,PUNTE1 ,
,BURZONI,MASCHIO M7  6H HSSE,M7,,MASCHIO,3,NUOVO,MASCHI,
,BURZONI,"MASCHIO M6,5X0,75 HSSE","M6,5",,MASCHIO,6,NUOVO,MASCHI,
,BURZONI,MASCHIO M8  6H HSSE,M8,,MASCHIO,8,NUOVO,MASCHI,
,BURZONI,MASCHIO T101 H M12 KP60,M12,,MASCHIO,1,USATO,MASCHI,
,BURZONI,MASCHIO EG T700 M4 KP60,M4,,MASCHIO,5,NUOVO,MASCHI EG,
,BURZONI,"MASCHIO EG HC FCE M3 0,5",M3,,MASCHIO,2,NUOVO,MASCHI EG,
,BURZONI,MASCHIO EG T200 EG M3 KP20,M3,,MASCHIO,1,NUOVO,MASCHI EG,
,BURZONI,MASCHIO EG T700 M5 KP60 ,M5,,MASCHIO,1,NUOVO,MASCHI EG,
,BURZONI,MASCHIO EG T105 M6 KP60,M6,,MASCHIO,1,NUOVO,MASCHI EG,
,BURZONI,MASCHIO EG T200 EG M6 KP20,M6,,MASCHIO,1,NUOVO,MASCHI EG,
,BURZONI,MASCHIO EG T700 M10 KP60,M10,,MASCHIO,3,USATO,MASCHI EG,
,BURZONI,SPACCAMASCHIO D3.3 TD1001 D3.3 KP60,D3.3,,SPACCAMASCHIO,4,NUOVO,MASCHI EG,
,BURZONI,SPACCAMASCHIO TD1001 D4.2 KP60,D4.2,,SPACCAMASCHIO,4,NUOVO,MASCHI EG,
,BURZONI,SPACCAMASCHIO TD1001 D5.0 KP60,D5,,SPACCAMASCHIO,4,NUOVO,MASCHI EG,
,BURZONI,SPACCAMASCHIO TD1001 D6.8 KP60,D6.8,,SPACCAMASCHIO ,5,NUOVO,MASCHI EG,
,BURZONI,SPACCAMASCHIO TD1001 D8.5 KP60,D8.5,,SPACCAMASCHIO ,3,NUOVO,MASCHI EG,
,BURZONI,SPACCAMASCHIO TD1001 D10.2 KP60,D10.2,,SPACCAMASCHIO,3,NUOVO,MASCHI EG,
,BURZONI,PUNTA T53 D3 KP60,D3,,PUNTA,1,NUOVO,PUNTE1 ,
,BURZONI,MASCHIO AMERICANO T331H G1/4 KP60,1/4,,MASCHIO,2,NUOVO,MASCHI A,
,BURZONI,PUNTA T53 D3.3 KP60,D3.3,,PUNTA,3,NUOVO,PUNTE1 ,
,BURZONI,PUNTA T55 D8.5 KP60,D8.5,,PUNTA,1,NUOVO,PUNTE1 ,
,BURZONI,PUNTA T55 D5 KP60,D5,,PUNTA,1,NUOVO,PUNTE1 ,
,BURZONI,PETTINE F100 040 080 C KP60,D4,,FRESA,4,NUOVO,PETTINI,
,BURZONI,PETTINE F100 060 100C KP60,D6,,FRESA,1,NUOVO,PETTINI,
,BURZONI,PETTINE FM100 M4 KP60,D4,,FRESA,2,NUOVO,PETTINI,
,BURZONI,PETTINE F100 080 150C KP60,D8,,FRESA,2,NUOVO,PETTINI,
,BURZONI,PETTINE F100 080 175C KP60,D8,,FRESA,2,NUOVO,PETTINI,
,BURZONI,PETTINE FM100 M5 KP60,D5,,FRESA,1,NUOVO,PETTINI ,
,BURZONI,FRESA METALLO DURO D5 TMDG 41055 KA60,D5,,FRESA,4,NUOVO,FRESA METALLI1,
,BURZONI,FRESA METALLO DURO D8 GT 080 050 L KD60,D8,,FRESA,1,NUOVO,FRESA METALLI1,
,BURZONI,FRESA METALLO DURO D12,D12,41120 MDI,FRESA,1,USATO,FRESA METALLI1,
,BURZONI,FRESA METALLO DURO LTG 020 030 KW60,D3,,FRESA,1,NUOVO,FRESA METALLI1,
,BURZONI,FRESA METALLO DURO LGT 020 030 KS60,D3,,FRESA,1,NUOVO,FRESA METALLI1,
,BURZONI,FRESA METALLO DURO D2 GS020L KD60,D2,,FRESA,1,NUOVO,FRESA METALLI2,
,BURZONI,FRESA METALLO DURO TMB2100400L250KB60,D4,,FRESA,1,NUOVO,FRESA METALLI2,
,BURZONI,FRESA METALLO DURO D3 GS030L KD60,D3,,FRESA,0,NUOVO,FRESA METALLI2,
,BURZONI,FRESA METALLO DURO TMB210 0400L160 KB60,D3.8,,FRESA,1,NUOVO,FRESA METALLI2,
,BURZONI,FRESA SFERICA METALLO DURO 53060VT3-KP60,D6,,FRESA,2,NUOVO,FRESA METALLI2,
,BURZONI,FRESA SFERICA METALLO DURO D4 GS040L KD60,D4,,FRESA,2,NUOVO,FRESA METALLI2,
,BURZONI,FRESA SFERICA METALLO DURO SGR 040 L45 KH60,D3.85,,FRESA,1,NUOVO,FRESA METALLI2,
,BURZONI,FRESA SFERICA METALLO DURO SGC 040 200XL 75B KH60,D4,,FRESA,3,NUOVO,FRESA METALLI2,
,BURZONI,FRESA DIAMANTATA D8,D8,D8X40L100,FRESA,1,NUOVO,DIAMANTATE 1,
,BURZONI,FRESA DIAMANTATA D6  40°,D6,2985,FRESA,1,USATO,DIAMANTATE 1,
,BURZONI,FRESA DIAMANTATA SPECIALE D8,D8,D8LTOT.63 G8 L.25mm,FRESA,1,NUOVO,DIAMANTATE 1,
,BURZONI,FRESA DIAMANTATA 7.7,D7.7,RUN077 WE KH68,FRESA,2,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 8,D8,RUN80 WE KH68,FRESA,2,NUOVO,DIAMANTATE 2,
,BURZONI,FRESA DIAMANTATA 9,D9,RUN 097 KH68,FRESA,1,NUOVO,DIAMANTATE 2,
